Id,Message,Human,Prediction
369,hello karina appreciate post would like see help please send private message details experience account type country account opened security purposes please include account numbers pins providing requested information regards jody,Positive,neutral
370,god made world countries jesus coming back install new world new country reign global,Neutral,neutral
371,good morning emily message concerns us like get information see help address parents please send us private message details issue account type country location account privacy reasons please send account numbers pins thank jovit,Neutral,neutral
372,hmmm apparently forgot double trouble,Negative,negative
373,know tiger dud wife color get attitude zero class,Negative,negative
374,get wealth released tax returns trump million dollar fraud settlement trump university long list unpaid contractors hundreds millions debt foreign entities banks using slave labor overseas make products fraudulent foundation multiple bankruptcies racist guess missed trump mocking hispanic accents speech,Negative,negative
375,dear ciyun acknowledge receipt details currently looking feedback provide update soonest possible september thank,Neutral,neutral
376,end customers becomes bagger n slave credit banks hmmm,Neutral,neutral
377,citi philippines,Neutral,neutral
378,tanner banks haha trump threatened north korea man clueless,Negative,neutral
379,particular reason airlines invest south american maintenance centers explains pretty well https youtu dgxahsna oa,Neutral,neutral
380,fwiw fullbright programs egypt cancelled last cycle due security concerns european student murdered,Negative,negative
381,ben komenkul requirement maintaining similar status jumped significantly much less hyatt locations stays always convenient many marriotts available sometimes stay hyatt drive extra min away worth extra effort feel main gripe,Negative,negative
382,yea end rental period deactivate think different option use temporary would vary state state,Neutral,neutral
383,may leave time,Neutral,neutral
384,shitting working man,Negative,negative
385,brian lee obama perchant golf disgrace trump type idiot would condone new holocaust well done previously right moron,Negative,negative
386,besides best photo op across canal homo monument photograph cue going around block much better frank families real home riverenburt,Positive,neutral
387,come make comment share hilarity https youtube com watch v qxzm jqm,Neutral,neutral
388,airport airfield huge logistical difference many people seem comprehend,Negative,negative
389,open emergency slides rocket science,Neutral,neutral
390,damage slats,Negative,negative
391,good luck legacy carriers,Positive,neutral
392,yeah sucks people splat,Negative,negative
393,walker one favorite time mysteries think survived,Positive,neutral
394,sleep soundly drive movies thanks gs,Positive,positive
395,surprised canada returns fire puts extreme tariffs boeing product holds forcing canada cancel max orders replace airbus bombardier cseries,Neutral,negative
396,scored decent room union square weeks ago using hotel tonight,Neutral,neutral
397,relative progression pay generally starting figs first officer hard get private job unless considerable flight experience flexibility mercy client corporate group husband corporate pilot spends roughly months year counrty remainder single day flights us time reality though always call could given hour notice unscheduled flight better,Neutral,neutral
398,love thank sharing,Positive,positive
399,jealous darling hate best,Neutral,negative
400,calvin harris feat pharrell williams katy perry big sean thebingbing com play pic twitter com wmwamlm,Neutral,neutral
401,sick seeing katy perry nicki minaj hybrid stan thinking drag rihanna,Negative,neutral
402,jp morgan fraud bitcoin bailout twitter com erikvoorhees,Negative,negative
403,rt cnbcnow breaking jpmorgan ceo jamie dimon says bitcoin fraud eventually blow cnb cx jmna x,Negative,negative
404,jamie dimon bitcoin comments remind early criticism uninformed dismissive incorrect,Negative,negative
405,jpmorgan ceo jamie dimon says bitcoin fraud eventually blow ift tt jlbdyg,Negative,negative
406,jpmorgan dimon says bitcoin fraud officialgoldengateway blogspot com jpmorg blockchain,Negative,neutral
407,jpmorganchase goldman sachs jamie dimon says eventual successor works organ read owler us adhmui jpm,Neutral,neutral
408,terribly sad news incredible pioneer rip edie thank thank thank twitter com chrisgeidner,Neutral,positive
409,last chance travel increased point bonus barclaycard arrival plus ift tt xy hd,Neutral,neutral
410,best buy richly moisturising combination shea cocoa butter keep skin supple ow ly sqea fpf pic twitter com dft r hov,Positive,positive
411,nice goldman upgrade mu tonight big roll k calls nov otm afternoon,Positive,neutral
412,cypress semiconductor cy management presents deutsche bank technology conference transcript ow ly iu n dzzr,Neutral,neutral
413,veteran owned business achievement award winner tar heel basements winston salem nc wearesmallbiz sbs pic twitter com yahba eaez,Positive,neutral
414,new review bosch da bought best buy bit bit ly meoqbk pic twitter com evwltb eqb,Neutral,neutral
415,countdown ladygaga joanneworldtour wells fargo center instagram com p jycjgclf,Neutral,neutral
416,jpmorganchase organ jamie dimon says bitcoin fraud worse tulips desti read owler us adhppm jpm,Negative,negative
417,save special price oz credit suisse gold bar fine ift tt fgttpu pic twitter com nn xnvcpx,Neutral,neutral
418,bit ly wincashs apple touting ios advanced revolutionary os date bit ly x z z bestbuy,Neutral,neutral
419,draw win samsung edincomm ltd one scotland best value secure internet providers win bit ly h aunw,Positive,positive
420,car original art tv comic keystone cops movie stars ebay goo gl tgcves originalart pic twitter com grruvlj br,Neutral,neutral
421,police apprehend boulder city bank robbery suspect chase las vegas review journal ref gl p vfli n,Neutral,neutral
422,analysts credit suisse maintain underperform rating intu properties lon intu dlvr pmhfjh,Negative,negative
423,quite controversial jpmorgan dimon says bitcoin fraud reut rs eticvm,Negative,negative
424,bitcoin fraud blow jp morgan ceo miami dailydigest us bit pic twitter com xrmwci z,Negative,negative
425,john angel jamie dimon strongest track record comes looking hill bitcoin community reacts jpmor,Neutral,neutral
426,new post bout bitcoin bitcoin price drops jpmorgan ceo harsh rhetorics bit ly ekpk bit ly xxpkc,Negative,neutral
427,betterment struck deal goldman sachs blackrock read bi sfkw pic twitter com luds p,Neutral,neutral
428,sears canada treating pensioners disgusting boycottsears buff ly wxypfb,Negative,negative
429,wells fargo ceo tells investors promise bank find problems goo gl u vwn,Negative,negative
430,bank america stumbles trillion problem ift tt xkvmjj zero hedge ift tt qouxdu,Negative,negative
431,wealthy young people driving sustainable investing regardless wealth age wake businessinsider com ubs report,Neutral,neutral
432,bitcoin tanks since jamie dimon called fraud restaurant newslocker com en us professi,Negative,neutral
433,bit ly wincashs pixar new coco trailer journeys land dead bit ly w pvob bestbuy job np music,Neutral,neutral
434,wells fargo customers need assistance w property damage hurricaneirma call wfhm hotline pic twitter com l yevplc,Negative,neutral
435,former ubs trader arrested charged rigging gold prices zerohedge com news,Negative,negative
436,hsbc ceo search firm employ outsider insider okt vokn pic twitter com roxn eubmj,Neutral,neutral
437,bank america corporation reaffirms buy rating celgene corporation celg ift tt h ttfi,Neutral,neutral
438,money problems magherafelt money worries magherafelt goo gl tlxxfc,Negative,negative
439,playing metallica last caress green hell zombieradio com,Neutral,negative
440,maybe trying get air marshal attention twitter com fwdslashthis,Neutral,neutral
441,macy gray rainy day,Neutral,neutral
442,literally better new ubs,Neutral,neutral
443,john mcafee challenges jamie dimon bitcoin skepticism oal lu vsw bitcoinbubblebitclubnetworktradecoinclub pic twitter com hkn gbh qf,Neutral,neutral
444,fnma sells reperforming loans gs unit housingwire com articles insurance written charter unauthorized twitter com carlosvignote,Neutral,neutral
445,jpmorgan cryptocurrency market looks like pyramid scheme greenground jpm,Neutral,neutral
446,katy perry look alike fucked brunettes bit ly qwzg,Negative,negative
447,money irma business another heavy hitter jpmorgan fan cryptocurrencies bloom bg xmkrrg,Negative,negative
448,people jamie dimon countries china denouncing banning bitcoin b c dont greedy hands yet,Negative,negative
449,equifax buy rating reiterated barclays plc pt ift tt f bvaa efx efx,Neutral,neutral
450,jp morgan ceo threatened fire employees second ift tt mlyd,Negative,negative
451,buyers great video downpayment options cfpb fb mauvbj,Positive,positive
452,jp morgan ceo threatened fire employees second ift tt mlyd inc businessadvice entrepreneur,Negative,negative
453,americanexpress jessamyn hi jessamyn looping askamex see help,Neutral,neutral
454,jamie dimon fraud knows bitcoin expose fraud part fraudulent fb glcl,Negative,negative
455,radio juice playing englishman new york sting apps apple brev hufa google brev iufa,Neutral,neutral
456,goldman sachs group inc reiterates neutral rating dominion energy inc ift tt wctiv,Neutral,neutral
457,bank america n year fixed mortgage rates apr points erate com,Neutral,neutral
458,remember first big baller barclays blocked whole account cos thought fraud,Negative,negative
459,legoland tickets end date saturday oct bstbuy buy add fb tcx evis,Neutral,neutral
460,shanghai jobs assistant manager ce insights tcf conduct standard chartered bank china dlvr pn hrh job shanghaijobs,Neutral,neutral
461,lead cfpb director cordray leaves goo gl ci b breakingnews mortgage,Neutral,neutral
462,manage growing business fulfilling personal life possible discover secrets success modgirl consulting business growt pic twitter com qtlioudgzh,Neutral,neutral
463,streaming gold silver platinum palladium,Neutral,neutral
464,harry styles tickets x sec glasgow nd nov seated end date saturday oct bstbuy fb x sbakuk,Neutral,neutral
465,pop singer katy perry host mtv video music awards show fb hys gvap,Neutral,neutral
466,corporations cheating investors using share buyback mask falling earnings bit ly wuyyvp,Negative,negative
467,last day apply fintech mentorship programme bank america merrill lynch miss bit ly xczw l,Neutral,neutral
468,american idol may delayed causes problems katy perry bit ly x teeu news usa world,Negative,negative
469,sheaff brock investment advisors llc holdings bank new york mellon corporation bk ift tt wes yj,Neutral,neutral
470,wells fargo commercials sims music pissing iff,Negative,negative
471,wells fargo company mn boosts position trustmark corporation trmk ift tt x ufdx,Positive,positive
472,job might great fit senior business analyst bit ly vy tru citicareers jerseycity nj hiring,Positive,positive
473,acoe refuse release dapl report already posted online buff ly jtapo pic twitter com tqw uovtih,Neutral,negative
474,cfpb regulation enforcement business usual fb xvxnobu,Neutral,neutral
475,investment fedex downgraded ubs lingering fallout overseas cyberattack dlvr pnddsh bankslist co uk pic twitter com ek np drt,Negative,negative
476,see john legend barclaycard arena next week pop beforehand show us ticket receive food bill pic twitter com vrmnlzuu,Neutral,neutral
477,today green candle probably jp morgan pic twitter com vzkmswluox,Neutral,neutral
478,former deutsche bank exec accused rmbs fraud disq us tipak,Negative,negative
479,want work citi hiring miami fl click details bit ly gs zb citicareers sales job jobs careerarc,Neutral,neutral
480,ift tt jueicg freebies freebiesinmail kmart free friday fix smart sense antibacterial wipes load today redeem pic twitter com cc l dn,Neutral,neutral
481,perfect gift open discover everything always wanted right,Positive,positive
482,katy perry roar part official cover year old mariangeli hitstreak fb rhw crhr,Neutral,neutral
483,brewerton dual demon finish matt sheppard larry wight jimmy phelps tim sears billy deckerl,Neutral,neutral
484,pronounce archeron rt dictionaryvoice com keystone proof fount pluck sphinkterboy zest head well al,Neutral,neutral
485,geraldine wilson needs find store montgomery al twitter com macys status,Neutral,neutral
486,idk see twitter com real one st st,Neutral,neutral
487,latest rondanart news paper li rondanart keystonexl iphonex,Neutral,neutral
488,join standard chartered bank team see latest job opening bit ly jxvjk banking taipei city hiring careerarc,Neutral,neutral
489,apple pie fourth july ebooknetworking net books detail awesome mondaymotivation,Positive,positive
490,latest vehicle access mobility news paper li mobilitysteps keystonexl iphonex,Neutral,neutral
491,old black people keep thinking macy gray twitter com plaidvillain,Neutral,neutral
492,bank america corporation reaffirms buy rating apple inc aapl ift tt xaqxhl stocks,Neutral,neutral
493,never think financial stress nursing school would worst part,Negative,negative
494,really want close wellsfargo account,Neutral,positive
495,device positively identified bomb squad technician katy perry twitter com ctvmontreal st,Neutral,neutral
496,election hackers voting technology stay primitive cybersec youtube com watch v csok j,Neutral,neutral
497,playing house dj best katy perry killjoyradioxm com,Neutral,neutral
498,macy hire workers holidays fewer last year goo gl ayudae,Neutral,neutral
499,moment lost clothes sex macy santaland staging area beast glue gun pic twitter com l u gucr,Neutral,neutral
500,playing california girls ft snoop dog katy perry listen link bio pic twitter com einc w zaz,Neutral,neutral
501,jim cramer macy facebook snap micron lam research adp tradingnews ow ly zv ejqhc,Neutral,neutral
502,citigroup inc reiterates buy rating rolls royce holding plc rr ift tt wyzgru,Neutral,neutral
503,trump could actually solve current financial problems offered one cent tell go stick ass,Negative,neutral
504,jpmorgan chase co jpm valuation declined hartline investment upped stake,Neutral,neutral
505,years ago today katy perry released dark horse featuring juicy j became ninth single us certified diamond pic twitter com xxohnxised,Positive,neutral
506,want work citi hiring jerseycity nj click details bit ly f zcu citicareers finance job jobs,Neutral,neutral
507,good news fintech seen cfpb action move american banker bit ly x zvf fintech pic twitter com eerr hxda,Positive,positive
508,climateweek thinking impact electriccars different time morganstanley com ideas electric,Neutral,neutral
509,rt lesleyclark limited menu limited hours lots love goldman deli key west irmahurricane pic twitter com eqt sgurx,Neutral,neutral
510,would like thank jamie dimon sending new interest chase card goo gl vxv n,Positive,neutral
511,x alton towers tickets friday th october end date tuesday oct bstbuy fb cf fvo,Neutral,neutral
512,bose quietcomfort ii google assistant spotted best buy ift tt wmxpeo pic twitter com kr yuj,Neutral,neutral
513,checked citibank mplusplaces download today bit ly gomplaces,Neutral,neutral
514,elegant evening smiles ceo series st regis mumbai stregis stregismumbai ceoseries luna georgecalombaris amex pic twitter com aii v im,Positive,neutral
515,bitcoin fraud jpmorgan buy million dollars btc pic twitter com gdxagm ux,Negative,negative
516,taking actions outside comfort zone way grow jmteam mondaymotivation pic twitter com fnfwbuyfz,Neutral,neutral
517,recommend anyone job roanoke va bit ly kguhfd retail hiring careerarc,Neutral,neutral
518,peace treaty parties ratification redemption round allowed president trump richard branson option finishing validated bank wire,Neutral,neutral
519,favorite katy perry song askmadison,Neutral,positive
520,ift tt h smu linux foundation president used macos presentation open source summit technology,Neutral,neutral
521,really need full tarte palette macy cause discount amazing,Positive,positive
522,william h macy shoulda award,Positive,neutral
523,good morning mondaymotivation,Positive,positive
524,rt amexoffers dadarlinging sorry amexlevis offer ended visit amex co faves find latest offers,Negative,neutral
525,start monday smile best armour tackle day mondaymotivation pic twitter com ky zsajqh,Positive,positive
526,work mondaymotivation pic twitter com oqy p tw,Positive,positive
527,hsbc simon adcock talks ahead bls law firms diversify thelawyer com hsbcs adcock,Neutral,neutral
528,jamie dimon missing bitcoin jeremy g philips via nyt new york times nyti ms fufdyp,Neutral,neutral
529,invalidbeach bad mine best buy right rekkacopy com,Neutral,positive
530,way mute every katy perry taylor swift song,Neutral,neutral
531,rt topfivetraders rt stakepoolcom john mcafee challenges jamie dimon bitcoin check ift tt xf aud cryptocurrency,Neutral,neutral
532,glass back instead brushed aluminum screen resolution still pathetic compared android handsets twitter com davionelliott,Negative,negative
533,usd eur used testing ground tightening hsbc ift tt w kp k expertraders forexcoaching forex fxstre,Neutral,neutral
534,new q index contractors remain optimistic commercial construction industry read uscham com xs lep ccindex pic twitter com xjkpt vi c,Neutral,neutral
535,lean belly breakthrough view mobile l nk com acp exy,Neutral,neutral
536,heads rollers friday printmakers monoprinting never looked good mondaymotivation pic twitter com ezuhvggxef,Positive,negative
537,happy monday everyone great week mondaymotivation pic twitter com icaem wh,Positive,positive
538,smallbusiness startup makerspace tech mondaymotivation investor emmys twitter com thegccworld st,Neutral,neutral
539,corrupt criminal like jamie dimon prison fraud medium com blairerickson,Negative,negative
540,mondaymotivation pic twitter com omtsp brrm,Positive,positive
541,mondaymotivation wakeup pic twitter com faqfsmd ih,Positive,positive
542,rt therecnetwork rt weareworkforce bit mondaymotivation pic twitter com onfzfsfai,Neutral,neutral
543,thorpe park tickets email end date wednesday oct bstbuy fb ihdd zy,Neutral,neutral
544,got hold black woman bofa rep handled problem quickly looked computer said oh nuh uh felt safe,Positive,neutral
545,mondaymotivation get day pic twitter com mncmcmz ls,Neutral,neutral
546,interested job newyork ny could great fit bit ly uvttfr citicareers marketing hiring careerarc,Positive,positive
547,bloomingdale sutton studios women blouse silk size fast service ebay flqo pic twitter com pukajmbrth,Positive,positive
548,monday move time shake bake week mondaymotivation coffeetime pic twitter com fopv,Neutral,neutral
549,rt amexoffers pdx deals guy thx enrolling amexbobbibrown offer spend w connected card receive credit amex co jqxb w,Neutral,neutral
550,dlplatbusbto thx enrolling amexbobbibrown offer spend w connected card receive credit terms amex co jqxb w,Positive,neutral
551,mac look box sensational little mac lipsticks macys com mac goo gl zpdjs coupons shopping,Neutral,neutral
552,jpmorgan ceo dimon called bitcoin fraud bank handling bitcoin related trades clie twitter com web status,Negative,negative
553,popular best buy jabra elite sport earbud wireless headphones black ift tt xbzalt pic twitter com gsot evgcd,Neutral,neutral
554,macy inc hire seasonal associates expand national hiring event september dlvr pnt pic twitter com zd zkbaimv,Neutral,neutral
555,everyone willingly money problems,Negative,negative
556,climateweek enjoyed read could mexico powered sun msideas morganstanley com ideas mexico,Positive,positive
557,deutschebank ceo gets brutally honest automation going banking jobs buff ly xguhe pic twitter com veqtww,Negative,negative
558,best buy devil,Positive,positive
559,aliens reaching us sure entirely sure take calls buff ly wbh v pic twitter com rtl njekad,Neutral,neutral
560,agi announces p b share buyback program done next years improve hugely undervalued share price pic twitter com yfn ohrc,Neutral,neutral
561,cfpb fines two groups private student loans goo gl guhq,Neutral,negative
562,palladium best place camp two starbucks across street shit ton restaurants twitter com niallofficial,Positive,neutral
563,forex cbn sanction banks platformtimes com ng index php busi,Neutral,neutral
564,please help support katy perry witness tour add twibbon twibbon com support katy p,Neutral,neutral
565,push nafta overhaul may fall short u negotiator says tight timeline ambitious goals leave trump ift tt w l qa,Neutral,neutral
566,ngam advisors l p purchases shares bank america corporation bac ift tt xnlqtg,Neutral,neutral
567,company facing major financial problems sales new game dwindled drastically,Negative,negative
568,age old trunk colours depressing,Negative,negative
569,dumbpiratejokes pirates buy clothes sears roebucs,Neutral,neutral
570,jp morgan hates bitcoin seeks bitcoin blockchain pros goo gl otmlns via blockchain,Negative,neutral
571,ubs ag cuts renaissancere holdings ltd rnr price target ift tt fgfdkb,Neutral,neutral
572,youtu ys rdpd mhg youtu bb ptoo moq cannot even function right see barclays ms janet,Neutral,neutral
573,wells fargo company mn boosts position national general holdings corp nghc zpr io npxgu,Positive,neutral
574,im confused bank america dont let deposit money atm,Neutral,negative
575,upper deck marvel premier card front captain america falcon marvel pic twitter com fzmvrmvess,Neutral,neutral
576,keystone cops germany style migrants maybe isil false passports found truck eisenh ttenstadt last week gone missing,Negative,neutral
577,fuck bank america,Negative,negative
578,credit suisse switch ninty gr home p creditsuisse pic twitter com sle fg,Neutral,neutral
579,citigroup iti sets clean power goal read owler us adi c,Neutral,neutral
580,morgan stanley weaker us dollar help new iphone sales aapl ift tt hf johnangel,Neutral,neutral
581,jetzt bei live calvin harris feat pharrell katy perry big sean feels,Neutral,neutral
582,millennials lack confidence invest wells fargo executive says ift tt xf ipx,Negative,negative
583,congrats like fuck going bro twitter com devinthedude,Negative,negative
584,gs goldman sachs group inc gs closes day september ow ly v z e ucl,Neutral,neutral
585,wells fargo employees rot hell,Negative,negative
586,writer janegoldman join matthewvaughn directs manofsteel dccomics comicbookmovie com superman pic twitter com ozrqcgy fl,Neutral,neutral
587,task unit signal commander psupt soria paid courtesy call pssupt trilles jr chief ropd acp task force pe afrancia cam sur ppo mpb pic twitter com lyrvyyudgq,Neutral,neutral
588,fxstreetnews australia businesses innovating less nab goo gl dygmhm banks australia economicindicator forex news,Negative,neutral
589,mentally disturbed naive man thinks relationship katy perry years,Negative,neutral
590,rt amexoffers sc fnbo sorry amexbestbuy offer ended visit amex co faves find latest offers,Negative,neutral
591,final walk sears toledo ohio watch pinklitter blogspot com final pic twitter com dyvq hjl k,Neutral,neutral
592,good sport fabulous kmart hat posed pic avapetry u thejoshuatree instagram com p bzqwpkihaqc,Positive,positive
593,rt cbsthismorning guests morning nikkihaley unga new orleans mayorlandrieu christine lagarde jpmorgan ibm c,Neutral,neutral
594,struggle real people ocd definitely kmart underwear instagram com p bzqycashun,Negative,negative
595,top stocks buy today walt disney co ambarella inc wells fargo dis amba wfc amigobulls com articles bullish pic twitter com zgvvuhjavn,Positive,neutral
596,ibm ended billion cash bank chase profits hit billion need tax break create jobs bullshit twitter com cbsthismorning,Negative,negative
597,jpmorgan chase ibm chiefs talk tax cuts daca economic growth read firenewsfeed com finance ibm economy jamiedimon pic twitter com q gvsuf,Neutral,neutral
598,sell johnson johnson stretched valuation goldman ow ly vwvg e gtd,Neutral,neutral
599,wells fargo company mn acquires shares reliance steel aluminum co rs ift tt jkoabt,Neutral,neutral
600,got one join keystone light stonehunt find orange npn ends us rules keystonelight com stonehunt,Neutral,neutral
601,im going best buy today get laptop know everything go smoothly thanks help guys really appreciate h,Positive,positive
602,anyone know anything monitor looking something larger perhaps need something higher res bestbuy com site aoc wi,Neutral,neutral
603,bank error favor seriously unexpected joy receive escrow overage check wells fargo mail yesterday,Positive,negative
604,ibmblockchain supports independent transparent vehicle transactions car ewallet zf ubs ibm biz bdjyly,Neutral,neutral
605,please sign share sears options next week seem save thousands jobs lose cdnpoli change org p ccaa board,Neutral,neutral
606,acp freedom munitions c rnd dlvr ppjfvz guns ammo,Neutral,neutral
607,decide get newlyweds go wrong mall visa gift card accepting amex bit ly rmmj pic twitter com c zhiad c,Neutral,neutral
608,want get reminders bankofamerica every episode vietnamwarpbs cards twitter com cards dzboc,Neutral,neutral
609,joining citibank help inspire pathways progress next generation leaders community gcfest pic twitter com jbqkwy xha,Neutral,neutral
610,want get reminders bankofamerica every episode vietnamwarpbs cards twitter com cards dzboc,Neutral,neutral
611,x ultrafire mah v li ion rechargeable battery high drain vap katyperry ebay co uk itm x ultraf pic twitter com rxkqepqsnj,Neutral,negative
612,fishwickdavid dave followed nw nicholas case hsbc,Neutral,neutral
613,foxbusiness mariabartiromo wellsfargo tim sloan seek restore investor consumer confidence wells fargo breach,Neutral,neutral
614,checked kmart mplusplaces download today bit ly gomplaces,Neutral,neutral
615,added video youtube playlist youtu wxd wdsittk johnny winter muddy waters palladium ny,Neutral,neutral
616,hsbc hsbc uk worst bank every business accounts premier account credit card crap service worst,Negative,negative
617,horrible customer service go united americanair cheaptickets hours hold counting badservice customerservice sales pic twitter com l homaa,Negative,negative
618,liked youtube video youtu phzfnaqapgo sam goldman ceo light designs,Positive,neutral
619,potus want drain swamp start mnuchin,Neutral,neutral
620,get ur dead mums kmart way live ones actually cost pic twitter com xmb qsndum,Neutral,neutral
621,callme macy check face godscalling mixtape bit ly vqcz,Neutral,neutral
622,want get reminders bankofamerica every episode vietnamwarpbs cards twitter com cards dzboc,Neutral,neutral
623,barclays kenya kenyabankers even great adoption mobile money transfers use mobile money apps countries,Positive,positive
624,forced arbitration ripoffclause defend cfpb ask senate protect consumer rights twitter com alliedprogress,Neutral,neutral
625,bestbuy sales reps asking need help within minute window pretty good way ensure never step foot stores,Negative,negative
626,pudding bananas parishilton britneyspears katyperry mirandalambert taylorswift,Neutral,neutral
627,americanexpress waiting months receive bonus points hilton card phone multiple times still posted,Negative,negative
628,bestbuy stores staying open release k tonight,Neutral,negative
629,thanks bofa want reminders bankofamerica every episode vietnamwarpbs cards twitter com cards dzboc,Positive,positive
630,sears part returned via ups generated ticket yo ke dishwasher leaked ruined floors ditchkenmore,Negative,negative
631,chase chasesupport jpmorgan please fire naudia please fire naudia please fire naudia please fire naudia please fire naudia,Neutral,neutral
632,ethical conflicts acp dementia care move forward kevinbrazil pic twitter com k cdrif,Negative,neutral
633,bitcoin fans fire back jamie dimon fraud comment uk finance yahoo com news bitcoin f via yahoofinanceuk,Negative,neutral
634,macy target others hard time hiring k holidays tgt thestreet com story via thestreet,Negative,neutral
635,lmsval technical issue resolved working properly thanks patience great day jm,Positive,positive
636,sad sears cockeysville md swarmapp com c cio eyigpi,Negative,negative
637,bestbuy deals really upset missing certificates pre ordering iphone today one able help today,Negative,negative
638,boys mighty excited wellsfargo wagon deadlandsreloaded savingthrowshow twitch tv savingthrowshow twitter com savingthrowsho,Positive,positive
639,official askciti compassion customers late fees u would think annual fee buys u something pic twitter com apkqrzmcjn,Negative,negative
640,latest best buy greenhouses daily paper li bbgreenhouses thanks wdcgardener greenhousegrow gardens changetheworld,Positive,positive
641,thanks bofa want reminders bankofamerica every episode vietnamwarpbs cards twitter com cards dzboc,Positive,positive
642,letters sears pensioners carp ca campaign stori kathleen wynne badlaw unfair pension,Neutral,negative
643,recap keystone vb tops gwynedd falls wells tri match keystoneproud bit ly wxg k,Neutral,neutral
644,obsessed katyperry dreamed,Positive,positive
645,amclub weekend going quickly thanks barclays wasting saturday poorcustomerservice pic twitter com g pwcv,Negative,negative
646,fanmade witness cover katyperry katyperry katycats witnessthetour witness witnesskp pic twitter com syk kign w,Neutral,positive
647,indivisibleil vietnamwarpbs premieres tonight p et pbs reply stop unsubscribe pic twitter com f picvfoko,Neutral,neutral
648,jpmorgan buying bitcoin day aired rubbish mark cuban bought day rubbish infiltrated media buying twitter com coindesk statu,Negative,negative
649,latest nick leeder daily paper li nleeder editio thanks regleidscherijn drjojo ico jpmorgan,Positive,positive
650,bestbuy account gets hacked takes fraud department hours review epicfail,Negative,negative
651,katyperry still waiting today teaser days till witnessthetour,Negative,negative
652,deutsche bank ceo gets brutally honest automation going banking jobs ev rosenfeld cnbc cnb cx xjnyuv,Negative,negative
653,see lockoir scott myrick tour outings week katyperry pic twitter com j h wb z,Neutral,negative
654,hsbc uk hi got account received message morning normally send messages pic twitter com gat sobjz,Neutral,neutral
655,katyperry katyperrystour nuggetperry katheryn hudson inspiration great role model cant wait see philly,Positive,positive
656,katyperry collegetownlife awsome check new website celebrainltd com please retweet ff scedmonds thank pic twitter com shqzldmexi,Positive,positive
657,mondaymotivation back another chance win shiny shiny proof copy thecore pvbrett rt get name hat pic twitter com lvpbjz ec,Neutral,neutral
658,yes mondaymotivation sunita says pic twitter com fpqcbioxhp,Neutral,neutral
659,heartfelt thank americanair dallas representative yolanda outstanding customer service made day beijingbound thankyou,Positive,positive
660,moral victories nfl bills blame kmart bn bn blitz bit ly xllojb,Negative,negative
661,donitacarr miss riding tiger tonight p et vietnamwarpbs reply stop unsubscribe pic twitter com r p u ynxb,Neutral,neutral
662,fraud account tdbank us making wait forever get money back joke boa chase refund immediately unacceptable,Negative,negative
663,katyperry january like omg,Neutral,neutral
664,mondaymotivation midas excited presenting today cfpb toolkit unitedwaymabay feli series pic twitter com rpypcau mc,Positive,positive
665,thanks following besteveryou facebook instagram welcome mondaymotivation,Positive,positive
666,hireresolveus team hopes everyone fantastic week ahead letsdothis excited mondaymotivation mondaymorning pic twitter com uygms xzmn,Positive,positive
667,hi flirt free wanted show guys beautiful baby boy jonkaelreal mondaymotivation ilovemysexyboysomuch mysweetbabyjon pic twitter com vlmmuhrgc,Positive,positive
668,great quote rt taylorednlp remember dreams fight mondaymotivation pic twitter com qeq qlpa,Neutral,neutral
669,lacking mondaymotivation nothing cookie gr amcookies fix grab one way home office today atl pic twitter com iw tbbopv,Negative,negative
670,austan goolsbee still rotfl bitcoin jamie dimon called hyperbitcoinization three countries twitter com jmackin statu,Neutral,neutral
671,mondaymotivation angelaoberer success savvycleaner pic twitter com dgw uxby,Neutral,positive
672,warning seacrests macys windows may appear larger real life rsdistinction pic twitter com bdn jw wdg,Neutral,negative
673,great sayyeseducation panel lat night cleconnects funded pncbank pic twitter com fmkz sukkd,Positive,positive
674,jtbosshogg vietnamwarpbs continues w river styx tonight p et pbs reply stop unsubscribe pic twitter com l qvbf,Neutral,neutral
675,witnessthetour fuc katyperry,Negative,negative
676,bankofamerica yo log account online access app app keeps crashing website gives sad face pic twitter com xvje oxw,Negative,negative
677,teenvogue wrote youth climate intervenors resisting line pipeline mn teenvogue com story young ad waterislife,Neutral,neutral
678,calvin harris feels official video ft pharrell williams katy perry youtu ozv q ov mk v youtube,Neutral,neutral
679,witnessthetour wttmontreal katyperry blast gonna amazing twitter com witness thetou,Positive,positive
680,katyperry believe time v proud excited wait see go kill katheryn witnessthetour,Positive,positive
681,wow man helped chase v attractive title relationship banker meant right,Positive,positive
682,agree katyperry katyperry bellcenter montreal concert peace centre bell instagram com p bzpet obyli,Neutral,neutral
683,usbank anytime want answer phone would great fraudspecialists,Positive,positive
684,video katyperry performing roar via savedaskatheryn witnessthetour pic twitter com hjyfqhndb,Neutral,neutral
685,hey thedjohnsonr al almost like hollywoodbowl us btw fantastic neworder pic twitter com lmty py gr,Positive,positive
686,katyperry really love u congrats today change life good night good dreams,Positive,positive
687,macyxleigh wow macy sweet love sexy outfit wearing looking stunning totally amazing sweet sexy babe xxx,Positive,positive
688,itsgabbydiaz stand stand n rock nodapl,Neutral,neutral
689,great turnout morning cyber crime affects us excited hear presentations icuk barclays fortinet pic twitter com outmmbw,Positive,neutral
690,imagine performing pendulum wtf katyperry,Negative,negative
691,pncbank help ur mobile app error network temporarily unavailable weeks even installing app,Negative,negative
